0.800000 ; -0.400000 
-0.666140 ; 0.487734 ; -0.101095 
-0.665587 ; 0.487330 ; -0.101012 
-0.665036 ; 0.486926 ; -0.100928 
-0.664484 ; 0.486522 ; -0.100844 
-0.663933 ; 0.486119 ; -0.100761 
-0.663383 ; 0.485716 ; -0.100677 
-0.662833 ; 0.485313 ; -0.100594 
-0.662283 ; 0.484911 ; -0.100510 
-0.661734 ; 0.484509 ; -0.100427 
-0.661186 ; 0.484107 ; -0.100344 
-0.660637 ; 0.483706 ; -0.100260 
-0.660090 ; 0.483305 ; -0.100177 
-0.659542 ; 0.482904 ; -0.100094 
-0.658996 ; 0.482504 ; -0.100011 
-0.658449 ; 0.482104 ; -0.099928 
-0.657903 ; 0.481704 ; -0.099845 
-0.657358 ; 0.481304 ; -0.099763 
-0.656813 ; 0.480905 ; -0.099680 
-0.656268 ; 0.480507 ; -0.099597 
-0.655724 ; 0.480108 ; -0.099515 
-0.655180 ; 0.479710 ; -0.099432 
-0.654637 ; 0.479313 ; -0.099350 
-0.654094 ; 0.478915 ; -0.099267 
-0.653552 ; 0.478518 ; -0.099185 
-0.653010 ; 0.478121 ; -0.099103 
-0.652469 ; 0.477725 ; -0.099021 
